input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
contextual,mBERT,bert-base-multilingual-cased,1,mean,one_word_split,0.11005221958699649,0.31311083354256897,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,1,max,one_word_split,0.02548458402246301,0.8158283161385937,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,7,first,one_word_split,0.38889966396324943,0.00021515370178676067,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,7,last,one_word_split,0.41238175287349527,7.966808701115537e-05,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,7,mean,one_word_split,0.4331906997235641,3.099438191470114e-05,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,7,max,one_word_split,0.2534384262070812,0.018548710357253688,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,12,first,one_word_split,0.23369684703475066,0.030342902612010003,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,12,last,one_word_split,0.28476047239629076,0.007875174176889507,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,12,mean,one_word_split,0.27828070047656883,0.009476506934833751,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,12,max,one_word_split,0.18403118995909815,0.0898514686980173,86.0,500,0.172,1
contextual,mBERT,bert-base-multilingual-cased,1,first,both_words_split,0.10598616148184509,0.033637915513761954,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,1,last,both_words_split,-0.010437426561433014,0.8347419394043077,402.0,500,0.804,1
contextual,mBERT,bert-base-multilingual-cased,1,mean,both_words_split,-0.008094510478718956,0.8714698809363681,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,1,max,both_words_split,-0.10136427505025158,0.042229306396512886,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,7,first,both_words_split,0.2130095413014828,1.6544008393521114e-05,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,7,last,both_words_split,0.22728630679233625,4.159083032395886e-06,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,7,mean,both_words_split,0.19385278956928312,9.160979366793778e-05,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,7,max,both_words_split,0.11063696250612902,0.02654321372996734,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,12,first,both_words_split,0.16250149371984732,0.0010763940107829835,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,12,last,both_words_split,0.15330470706978225,0.002053256162885439,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,12,mean,both_words_split,0.1166623187829273,0.019294935541020877,402.0,500,0.804,2
contextual,mBERT,bert-base-multilingual-cased,12,max,both_words_split,0.020327607386208993,0.684492708969814,402.0,500,0.804,2
contextual,XLM-R,xlm-roberta-base,1,first,clean,0.17719641428257288,0.08928464752385148,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,last,clean,0.0909681410700415,0.38583236289234957,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,mean,clean,0.17399420434419197,0.09531679402158884,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,max,clean,0.12040010793958887,0.25031664490992483,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,first,clean,0.3126670627013948,0.0022780519347358136,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,last,clean,0.2522803997608323,0.01470356689124112,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,mean,clean,0.2948944243254394,0.004111211823336206,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,7,max,clean,0.2733821421752909,0.008014513549600984,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,first,clean,0.22596853488252783,0.029410293862229285,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,last,clean,0.16329777813976354,0.11781607357873634,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,mean,clean,0.21893710886398518,0.03499211280760205,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,12,max,clean,0.18529524361390914,0.0753730167401728,93.0,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,first,one_word_split,0.04278783529614933,0.5598720414447582,188.0,500,0.376,3
contextual,XLM-R,xlm-roberta-base,1,last,one_word_split,0.05155722421998556,0.48226151257245764,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,1,mean,one_word_split,0.0074373413249203555,0.9193147190910964,188.0,500,0.376,3
contextual,XLM-R,xlm-roberta-base,1,max,one_word_split,-0.0004869363925240466,0.9947084624376885,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,7,first,one_word_split,0.1830409314616463,0.011927871014563676,188.0,500,0.376,3
contextual,XLM-R,xlm-roberta-base,7,last,one_word_split,0.21826447739758034,0.0026202493556669623,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,7,mean,one_word_split,0.1971013331422382,0.006705208453044883,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,7,max,one_word_split,0.1428809204961016,0.05045732598066201,188.0,500,0.376,3
contextual,XLM-R,xlm-roberta-base,12,first,one_word_split,0.050010271732749016,0.4955173968451789,188.0,500,0.376,3
contextual,XLM-R,xlm-roberta-base,12,last,one_word_split,0.10326769285400568,0.15846140506764156,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,12,mean,one_word_split,0.19809787521930328,0.006427693727598148,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,12,max,one_word_split,0.12012185808276632,0.10059119377553201,188.0,500,0.376,2
contextual,XLM-R,xlm-roberta-base,1,first,both_words_split,0.1489801266576972,0.027495943436560172,219.0,500,0.438,2
contextual,XLM-R,xlm-roberta-base,1,last,both_words_split,0.042136228004255816,0.5350824928901623,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,1,mean,both_words_split,0.06166773991909324,0.36375071973011996,219.0,500,0.438,2
contextual,XLM-R,xlm-roberta-base,1,max,both_words_split,-0.011946313931580051,0.8604637634939666,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,7,first,both_words_split,0.21010287050326945,0.0017695109432418591,219.0,500,0.438,2
contextual,XLM-R,xlm-roberta-base,7,last,both_words_split,0.11264495159601426,0.0963625984192336,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,7,mean,both_words_split,0.15689863276591845,0.020178829481099912,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,7,max,both_words_split,0.154228725685743,0.022430848866274136,219.0,500,0.438,2
contextual,XLM-R,xlm-roberta-base,12,first,both_words_split,0.09206532617978437,0.1746127836183237,219.0,500,0.438,2
contextual,XLM-R,xlm-roberta-base,12,last,both_words_split,0.035098320814829,0.6054392875628247,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,12,mean,both_words_split,0.10734185296061637,0.11319289967757336,219.0,500,0.438,3
contextual,XLM-R,xlm-roberta-base,12,max,both_words_split,0.11922219368329649,0.07832053803531491,219.0,500,0.438,3
